01/04/2016 07:59:30 AM	Trend	1451923170
Time	HR	ST1	ST2	ST3	Imped.	P1sys	P1dia	P1mean	PR(P1)	P2sys	P2dia	P2mean	PR(P2)	P3sys	P3dia	P3mean	PR(P3)	P4sys	P4dia	P4mean	PR(P4)	NIBPsys	NIBPdia	NIBPmean	PR(NIBP)	T1	T2	T3	T4	SpO2	PR(SpO2)	SpO2_ir	SVO2p	EtCO2	FiCO2	RR(CO2)	Pamb	FeO2	FiO2	FeN2O	FiN2O	FeAA	FiAA	MAC	RR(Spiro)	Ppeak	PEEP	Pplat	TVinsp	TVexp	Compl	MVexp	C.O.	Tblood	RVEF	PCWP	T1%	TOF%	PTC	HR(ECG)	HRmax	HRmin	SvO2	P5sys	P5dia	P5mean	PR(P5)	P6sys	P6dia	P6mean	PR(P6)	Marker	
08:02:54	98.0	1.1	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	77.0	44.0	54.0	-32768.0	-327.68	-327.68	-327.68	-327.68	100.0	97.0	-327.68	-327.68	0.0	0.0	0.0	759.8	80.0	80.0	0.0	0.0	-327.68	-327.68	0.0	-32768.0	24.0	8.0	-327.68	49.0	56.0	-327.68	0.4	-32.768	-327.68	-327.68	-327.68	-3276.8	-3276.8	31.0	98.0	97.0	96.0	-327.68	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	1.0	
08:03:04	106.0	1.7	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	77.0	44.0	54.0	-32768.0	-327.68	-327.68	-327.68	-327.68	100.0	111.0	-327.68	-327.68	6.05	0.0	31.0	759.8	67.0	80.0	0.0	0.0	-327.68	-327.68	0.0	-32768.0	23.0	7.0	-327.68	71.0	82.0	-327.68	0.6	-32.768	-327.68	-327.68	-327.68	-3276.8	-3276.8	31.0	106.0	110.0	109.0	-327.68	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	1.0	
08:03:14	107.0	1.4	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	77.0	44.0	54.0	-32768.0	-327.68	-327.68	-327.68	-327.68	100.0	108.0	-327.68	-327.68	6.32	0.0	30.0	759.8	69.0	80.0	0.0	0.0	-327.68	-327.68	0.0	-32768.0	23.0	7.0	-327.68	71.0	82.0	-327.68	0.5	-32.768	-327.68	-327.68	-327.68	-3276.8	-3276.8	31.0	107.0	108.0	105.0	-327.68	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	1.0	
08:03:24	104.0	1.2	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	76.0	44.0	58.0	-32768.0	-327.68	-327.68	-327.68	-327.68	100.0	103.0	-327.68	-327.68	7.77	0.0	14.0	759.8	68.0	80.0	0.0	0.0	-327.68	-327.68	0.0	-32768.0	24.0	6.0	-327.68	58.0	68.0	-327.68	0.7	-32.768	-327.68	-327.68	-327.68	-3276.8	-3276.8	31.0	104.0	105.0	102.0	-327.68	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	1.0	
08:03:34	107.0	1.4	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	76.0	44.0	58.0	-32768.0	-327.68	-327.68	-327.68	-327.68	100.0	110.0	-327.68	-327.68	7.11	0.26	16.0	759.8	69.0	79.0	0.0	0.0	-327.68	-327.68	0.0	-32768.0	24.0	6.0	-327.68	58.0	68.0	-327.68	0.7	-32.768	-327.68	-327.68	-327.68	-3276.8	-3276.8	31.0	107.0	109.0	107.0	-327.68	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	1.0	
08:03:44	108.0	1.3	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	76.0	44.0	58.0	-32768.0	-327.68	-327.68	-327.68	-327.68	100.0	109.0	-327.68	-327.68	7.24	0.13	18.0	759.8	70.0	80.0	0.0	0.0	-327.68	-327.68	0.0	-32768.0	18.0	3.0	-327.68	29.0	33.0	-327.68	0.7	-32.768	-327.68	-327.68	-327.68	-3276.8	-3276.8	31.0	108.0	108.0	108.0	-327.68	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	1.0	
08:03:54	108.0	1.2	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	76.0	44.0	58.0	-32768.0	-327.68	-327.68	-327.68	-327.68	100.0	109.0	-327.68	-327.68	7.24	0.26	16.0	759.8	69.0	79.0	0.0	0.0	-327.68	-327.68	0.0	-32768.0	14.0	4.0	-327.68	41.0	46.0	-327.68	0.9	-32.768	-327.68	-327.68	-327.68	-3276.8	-3276.8	31.0	108.0	109.0	108.0	-327.68	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	1.0	
08:04:04	108.0	1.7	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	76.0	44.0	58.0	-32768.0	-327.68	-327.68	-327.68	-327.68	100.0	109.0	-327.68	-327.68	7.5	0.13	15.0	759.8	69.0	80.0	0.0	0.0	-327.68	-327.68	0.0	-32768.0	14.0	6.0	-327.68	46.0	47.0	-327.68	0.7	-32.768	-327.68	-327.68	-327.68	-3276.8	-3276.8	31.0	108.0	108.0	108.0	-327.68	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	1.0	
08:04:14	107.0	1.4	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	76.0	44.0	58.0	-32768.0	-327.68	-327.68	-327.68	-327.68	100.0	108.0	-327.68	-327.68	7.77	0.13	14.0	759.8	69.0	80.0	0.0	0.0	-327.68	-327.68	0.0	-32768.0	14.0	3.0	-327.68	4.0	31.0	-327.68	0.7	-32.768	-327.68	-327.68	-327.68	-3276.8	-3276.8	31.0	107.0	108.0	106.0	-327.68	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	1.0	
08:04:24	106.0	1.5	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	76.0	44.0	58.0	-32768.0	-327.68	-327.68	-327.68	-327.68	100.0	106.0	-327.68	-327.68	6.71	0.0	15.0	759.8	70.0	68.0	0.0	0.0	-327.68	-327.68	0.0	-32768.0	14.0	6.0	-327.68	11.0	15.0	-327.68	0.7	-32.768	-327.68	-327.68	-327.68	-3276.8	-3276.8	31.0	106.0	107.0	105.0	-327.68	-327.68	-327.68	-327.68	-32768.0	-327.68	-327.68	-327.68	-32768.0	1.0	
